model,dataset,prompt_id,EM0.1,EM1,EM5,avg_RNE,LLM_s,Py_s,Total_s,ProgErr,outTok,inTok,Acc_per_1kOut,Acc_per_1kIn,Acc_per_sec
granite3.3:8b,FinQA,direct_prompt,8.1,8.3,18.4,0.4528,1.83,0.00,1.83,0.0,134,1124,10.00,8.89,5.48
granite3.3:8b,FinQA,hybrid_v2,33.7,33.1,43.9,0.0853,4.05,0.05,4.09,10.0,331,1232,30.00,24.34,7.33
granite3.3:8b,FinQA,program_of_thought,47.8,52.4,52.1,0.1055,1.10,0.04,1.14,0.0,64,1161,50.00,43.04,43.67
granite3.3:8b,FinQA,self_ask,37.2,41.3,42.7,0.2939,3.48,0.00,3.48,0.0,283,1153,40.00,34.67,11.49
granite3.3:8b,GSM8K,direct_prompt,82.6,81.4,82.9,0.0517,3.10,0.00,3.10,0.0,258,163,80.00,80.00,25.77
granite3.3:8b,GSM8K,hybrid_v2,63.4,63.9,63.1,0.2657,3.77,0.04,3.82,0.0,345,271,60.00,60.00,15.72
granite3.3:8b,GSM8K,program_of_thought,56.8,58.3,59.7,0.8827,0.94,0.03,0.97,20.0,84,200,60.00,60.00,61.59
granite3.3:8b,GSM8K,self_ask,82.3,82.9,85.2,0.0583,3.43,0.00,3.43,0.0,317,192,80.00,80.00,23.34

gemma3:4b,FinQA,direct_prompt,28.4,31.1,29.7,0.9530,0.92,0.00,0.92,0.0,78,992,30.00,30.00,32.54
gemma3:4b,FinQA,hybrid_v2,32.8,33.4,44.9,1.3759,1.91,0.05,1.95,0.0,199,1099,30.00,27.29,15.38
gemma3:4b,FinQA,program_of_thought,41.9,44.1,54.8,1.6898,0.88,0.05,0.93,0.0,72,1027,40.00,38.94,43.06
gemma3:4b,FinQA,self_ask,38.2,39.6,47.1,0.2063,1.97,0.00,1.97,0.0,219,1021,40.00,39.17,20.26
gemma3:4b,GSM8K,direct_prompt,78.9,82.4,81.6,0.1103,2.46,0.00,2.46,0.0,209,120,80.00,80.00,32.55
gemma3:4b,GSM8K,hybrid_v2,83.7,82.9,84.4,0.7583,2.22,0.05,2.27,0.0,272,227,80.00,80.00,35.22
gemma3:4b,GSM8K,program_of_thought,59.8,62.1,59.4,1.0831,0.91,0.05,0.96,10.0,94,155,60.00,60.00,62.22
gemma3:4b,GSM8K,self_ask,58.2,56.8,55.9,0.6332,1.88,0.00,1.88,0.0,231,149,60.00,60.00,31.85

llama3.1:8b,FinQA,direct_prompt,32.7,61.9,63.4,0.1444,2.01,0.00,2.01,0.0,172,904,60.00,60.00,29.86
llama3.1:8b,FinQA,hybrid_v2,52.4,54.1,53.2,0.4088,2.65,0.04,2.69,0.0,230,1006,50.00,49.70,18.58
llama3.1:8b,FinQA,program_of_thought,37.1,42.3,43.9,0.3884,0.89,0.04,0.93,0.0,55,940,40.00,40.00,43.07
llama3.1:8b,FinQA,self_ask,29.1,42.7,43.4,0.1850,2.96,0.00,2.96,0.0,269,930,40.00,40.00,13.54
llama3.1:8b,GSM8K,direct_prompt,84.9,84.1,85.7,0.0583,2.46,0.00,2.46,0.0,181,113,80.00,80.00,32.59
llama3.1:8b,GSM8K,hybrid_v2,74.3,73.1,72.4,0.2433,2.82,0.04,2.86,10.0,276,215,70.00,70.00,24.50
llama3.1:8b,GSM8K,program_of_thought,59.3,61.2,62.9,0.8583,1.04,0.04,1.09,0.0,97,149,60.00,60.00,55.17
llama3.1:8b,GSM8K,self_ask,78.8,79.4,80.2,0.6613,2.33,0.00,2.33,0.0,231,139,80.00,80.00,34.33

mistral:7b-instruct,FinQA,direct_prompt,23.2,21.8,42.6,0.3943,0.52,0.00,0.52,0.0,23,1048,20.00,19.08,38.73
mistral:7b-instruct,FinQA,hybrid_v2,33.9,34.4,34.1,1.6035,2.73,0.04,2.78,20.0,260,1171,30.00,25.61,10.81
mistral:7b-instruct,FinQA,program_of_thought,7.7,11.9,17.4,0.7216,0.62,0.04,0.66,20.0,33,1087,10.00,9.20,15.08
mistral:7b-instruct,FinQA,self_ask,23.4,33.7,44.9,0.2384,3.18,0.00,3.18,0.0,317,1080,30.00,27.77,9.42
mistral:7b-instruct,GSM8K,direct_prompt,12.8,11.4,22.9,1.1880,1.46,0.00,1.46,0.0,103,123,10.00,10.00,6.86
mistral:7b-instruct,GSM8K,hybrid_v2,14.7,15.2,14.9,1.9831,0.93,0.04,0.98,0.0,96,246,10.00,10.00,10.24
mistral:7b-instruct,GSM8K,program_of_thought,5.2,9.1,6.3,1.3372,0.72,0.04,0.76,0.0,77,162,10.00,10.00,13.12
mistral:7b-instruct,GSM8K,self_ask,71.3,74.1,70.6,2.6207,2.21,0.00,2.21,0.0,246,155,70.00,70.00,31.71
