experiment,model,dataset,item_id,domain_prompt,type_prompt,prompt_id,question,gold,completion,pred,latency_sec,eval_count,num_ctx,num_predict,temperature,seed
week0_crossdomain_smoke,mistral:7b-instruct,finqa,V/2008/page_17.pdf-1,finance,program,finance_program_v1,what is the average payment volume per transaction for american express?,127.40," Answer: The provided data does not directly give the number of transactions for American Express, but we can calculate the average payment volume per transaction by dividing the payments volume by the total transactions. However, we only have the total transactions in billions (5.0), and the payments volume in billions ($637). To convert the payments volume to the same unit as the total transactions, we need to divide it by 1,000,000,000 (since 5.0 is in billions and $637 is in dollars).

So, the calculation would be:

Average payment volume per transaction = Payments volume / Total transactions
= ($637 / 1,000,000,000) / 5.0

After performing the calculations, we get:

Answer: Average payment volume per transaction for American Express is $0.1274 (rounded to four decimal places).","The provided data does not directly give the number of transactions for American Express, but we can calculate the average payment volume per transaction by dividing the payments volume by the total transactions. However, we only have the total transactions in billions (5.0), and the payments volume in billions ($637). To convert the payments volume to the same unit as the total transactions, we need to divide it by 1,000,000,000 (since 5.0 is in billions and $637 is in dollars).",7.534243822097778,210,4096,512,0.2,1234
week0_crossdomain_smoke,mistral:7b-instruct,finqa,C/2017/page_328.pdf-1,finance,program,finance_program_v1,what was the percentage cumulative total return for the five year period ended 31-dec-2017 of citi common stock?,93.5%, Answer: The percentage cumulative total return for the five-year period ended 31-dec-2017 of Citi common stock is (152.3 - 100.0) / 100.0 * 100% = 52.3%.,The percentage cumulative total return for the five-year period ended 31-dec-2017 of Citi common stock is (152.3 - 100.0) / 100.0 * 100% = 52.3%.,0.768822431564331,66,4096,512,0.2,1234
week0_crossdomain_smoke,mistral:7b-instruct,finqa,DVN/2007/page_58.pdf-2,finance,program,finance_program_v1,what percentage of the total oil and gas mmboe comes from canada?,24.69%," Answer: The total oil and gas mmboe is 243. The oil and gas mmboe from Canada is 60. So, the percentage of the total oil and gas mmboe that comes from Canada is 60/243 * 100% = 24.65%.","The total oil and gas mmboe is 243. The oil and gas mmboe from Canada is 60. So, the percentage of the total oil and gas mmboe that comes from Canada is 60/243 * 100% = 24.65%.",1.0485172271728516,70,4096,512,0.2,1234
week0_crossdomain_smoke,mistral:7b-instruct,finqa,ETR/2011/page_341.pdf-3,finance,program,finance_program_v1,in 2010 what was the net change in net revenue in millions,18.6," Answer: The net change in net revenue in millions from 2009 to 2010 is $18.6 (or +3.5% if expressed as a percentage, considering the base value of $536.7 million). This is calculated by subtracting the 2009 net revenue ($536.7) from the 2010 net revenue ($555.3).","The net change in net revenue in millions from 2009 to 2010 is $18.6 (or +3.5% if expressed as a percentage, considering the base value of $536.7 million). This is calculated by subtracting the 2009 net revenue ($536.7) from the 2010 net revenue ($555.3).",1.069779634475708,93,4096,512,0.2,1234
week0_crossdomain_smoke,mistral:7b-instruct,finqa,ETR/2004/page_213.pdf-2,finance,program,finance_program_v1,what are the deferred fuel cost revisions as a percentage of the increase in fuel cost recovery revenues?,60.3%," To find the deferred fuel cost revisions as a percentage of the increase in fuel cost recovery revenues, we first need to calculate the increase in fuel cost recovery revenues and then divide the deferred fuel cost revisions by this increase.

1) Formula: (Deferred Fuel Cost Revisions / Increase in Fuel Cost Recovery Revenues) * 100%

2) Bind values from data/context:
- Increase in Fuel Cost Recovery Revenues: $98.0 million (from the context)
- Deferred Fuel Cost Revisions: $59.1 million (from the context)

3) Compute carefully: (59.1 / 98.0) * 100% = 60.2061%

4) Double-check units/periods: The values are in millions of dollars and the percentage is calculated correctly.

Final line: Answer: 60.2061%",60.2061%,2.279165267944336,221,4096,512,0.2,1234
week0_crossdomain_smoke,mistral:7b-instruct,finqa,PM/2017/page_38.pdf-1,finance,program,finance_program_v1,what was the change in millions of operating income from 2016 to 2017?,688, Answer: The change in operating income from 2016 to 2017 was an increase of $688 million.,The change in operating income from 2016 to 2017 was an increase of $688 million.,0.6481757164001465,30,4096,512,0.2,1234
week0_crossdomain_smoke,mistral:7b-instruct,finqa,JPM/2008/page_85.pdf-3,finance,program,finance_program_v1,what was jpmorgan chase & co's common equity tier 1 ( cet1 ) ratio in 2008?,10.94%," Steps:
1) The formula to find Common Equity Tier 1 (CET1) ratio is CET1 / Risk-Weighted Assets.
2) Bind values from data/context:
   - CET1 = Total Tier 1 Capital = $136,104 million
   - Risk-Weighted Assets = $1,244,659 million
3) Compute carefully: CET1 / Risk-Weighted Assets = $136,104 / $1,244,659 ≈ 0.108 or 10.8%
4) Double-check units/periods: Both values are in millions of dollars and represent annual data.
Final line: Answer: 10.8%",10.8%,2.1846811771392822,181,4096,512,0.2,1234
week0_crossdomain_smoke,mistral:7b-instruct,finqa,PNC/2013/page_207.pdf-1,finance,program,finance_program_v1,"at the end of 2014 , the notional value of derivatives designated as hedging instruments under gaap was what percent of the fair value?",3044%," To find the percentage of the fair value that the notional value of derivatives designated as hedging instruments under GAAP was at the end of 2014, we first need to find their notional value and fair value for the year 2014. However, the data provided is only for the year 2013.

Assuming that the values remained constant between 2013 and 2014, we can use the following formula:

Percentage = (Notional value of derivatives designated as hedging instruments in 2014) / (Fair value of derivatives designated as hedging instruments in 2014) * 100%

Since the data is only available for 2013, we cannot provide the exact values for 2014. However, if we assume that the notional and fair values remained constant, then:

Percentage = (29270) / (1872) * 100% = 1586.73% (This is not a valid percentage, indicating that our assumption of constant values might not be accurate.)

Answer: The percentage cannot be determined accurately with the given data, as it assumes constant values between 2013 and 2014, which may not be the case.","The percentage cannot be determined accurately with the given data, as it assumes constant values between 2013 and 2014, which may not be the case.",3.0591156482696533,293,4096,512,0.2,1234
week0_crossdomain_smoke,mistral:7b-instruct,finqa,CME/2017/page_97.pdf-5,finance,program,finance_program_v1,"what was the increase in class a common stock issued and outstanding between years , in thousands?",995, Answer: The increase in Class A common stock issued and outstanding between years was 1065 [in thousands].,The increase in Class A common stock issued and outstanding between years was 1065 [in thousands].,0.5549445152282715,25,4096,512,0.2,1234
week0_crossdomain_smoke,mistral:7b-instruct,finqa,PNC/2013/page_62.pdf-2,finance,program,finance_program_v1,in millions what was total residential mortgages balance for 2013 and 2012?,3576, Answer: Total residential mortgages balance for 2013 was $1315 million and for 2012 was $2096 million.,Total residential mortgages balance for 2013 was $1315 million and for 2012 was $2096 million.,0.7846691608428955,37,4096,512,0.2,1234
